10203104	Київ Басейна 5А	50,441431	30,522911	4
10203105	Київ Басейна 5Б	50,44115	30,52262	3
10203106	Київ Басейна 5Б	50,441167	30,522901	2
10203107	Київ Басейна 5Б	50,441167	30,522901	8
10203108	Київ Басейна 5Б	50,441167	30,522901	9
10203109	Київ Басейна 5Б	50,441167	30,522901	9
10203110	Київ Басейна 5Б	50,441167	30,522901	5
10203111	Київ Басейна 5Б	50,441167	30,522901	6
10203112	Київ Басейна 5Б	50,441167	30,522901	4
10203113	Київ Басейна 5Б	50,441167	30,522901	1
10203114	Київ Басейна 5Б	50,441148	30,522904	2
10203115	Київ Басейна 5Б	50,441159	30,522922	6
10203116	Київ Басейна 5Б	50,441197	30,522933	5
10203117	Київ Басейна 5Б	50,441204	30,522938	7
10203118	Київ Басейна 5Б	50,441187	30,523072	2
10203119	Київ Басейна 6	50,441085	30,520695	0
10203120	Київ Басейна 6	50,441075	30,520738	9
10203121	Київ Басейна 6	50,441078	30,520749	7
10203122	Київ Басейна 6	50,441061	30,520824	4
10203123	Київ Басейна 6	50,441061	30,520824	9
10203124	Київ Басейна 6	50,441061	30,520824	7
10203125	Київ Басейна 6	50,441173	30,521055	3
10203126	Київ Басейна 6	50,44065	30,5215	5
10203127	Київ Басейна 6	50,441316	30,521752	8
10203128	Київ Басейна 6	50,441118	30,521892	3
10203129	Київ Басейна 6	50,441296	30,521902	6
10203130	Київ Басейна 6	50,441296	30,521902	5
10203131	Київ Басейна 6	50,44142	30,52194	0
10203132	Київ Басейна 6	50,441142	30,522004	3
10203133	Київ Басейна 7	50,440981	30,522947	7
10203134	Київ Басейна 7В	50,440949	30,522958	5
10203135	Київ Басейна 7В	50,440949	30,522958	6
10203136	Київ Басейна 7В	50,440983	30,523327	1
10203137	Київ Басейна 7В	50,440988	30,523641	0
10203138	Київ Басейна 7В	50,441171	30,523665	4
10203139	Київ Басейна 9	50,44074	30,522973	0
10203140	Київ Басейна 9А	50,440758	30,523049	7
10203141	Київ Басейна 9А	50,440742	30,523125	0
10203142	Київ Басейна 9Г	50,440829	30,523716	0
10203143	Київ Басейна 9Г	50,440806	30,523784	1
10203144	Київ Басейна 9Г	50,44086	30,523785	9
10203145	Київ Басейна 9Г	50,440828	30,523841	6
10203146	Київ Бесарабська 1	50,442919	30,521559	4
10203147	Київ Бесарабська 2	50,442368	30,521502	8
10203148	Київ Бесарабська 2	50,442354	30,521513	0
10203149	Київ Бесарабська 2	50,442344	30,521529	8
10203150	Київ Бесарабська 2	50,442383	30,521535	9
10203151	Київ Бесарабська 2	50,442383	30,521535	8
10203152	Київ Бесарабська 2	50,442383	30,521535	3
10203153	Київ Бесарабська 2	50,442383	30,521535	1
10203154	Київ Бесарабська 2	50,442383	30,521535	3
10203155	Київ Бесарабська 2	50,442341	30,521545	2
10203156	Київ Бесарабська 2	50,442307	30,521577	4
10203157	Київ Бесарабська 2	50,442307	30,521577	0
10203158	Київ Бесарабська 2	50,442307	30,521577	3
10203159	Київ Бесарабська 2	50,442337	30,521577	2
10203160	Київ Бесарабська 5	50,442826	30,522232	5
10203161	Київ Бесарабська 5	50,442813	30,52224	2
10203162	Київ Бесарабська 5	50,442841	30,522292	5
10203163	Київ Бесарабська 7Б	50,442926	30,522791	8
10203164	Київ Бесарабська 9/1	50,44255	30,52295	8
10203165	Київ Бесарабська 9/1А	50,442708	30,522997	5
10203166	Київ Велика Васильківська 1/3	50,44173	30,520619	8
10203167	Київ Велика Васильківська 1-3	50,44173	30,520619	2
10203168	Київ Велика Васильківська 1-3	50,44173	30,520619	7
10203169	Київ Велика Васильківська 13/1	50,44045	30,51916	3
10203170	Київ Велика Васильківська 13/1	50,440234	30,519559	5
10203171	Київ Велика Васильківська 13/1	50,440244	30,519569	5
10203172	Київ Велика Васильківська 13/1	50,440165	30,519721	1
10203173	Київ Велика Васильківська 13/1	50,440281	30,519743	5
10203174	Київ Велика Васильківська 13/1	50,440281	30,519743	7
10203175	Київ Велика Васильківська 13/1	50,440281	30,519743	6
10203176	Київ Велика Васильківська 13/1	50,440391	30,519864	3
10203177	Київ Велика Васильківська 13/1	50,440323	30,519945	0
10203178	Київ Велика Васильківська 1-3/2	50,44188	30,52007	5
10203179	Київ Велика Васильківська 1-3/2	50,44192	30,52086	4
10203180	Київ Велика Васильківська 1-3/2	50,44201	30,52095	9
10203181	Київ Велика Васильківська 1-3/2А	50,441822	30,520497	7
10203182	Київ Велика Васильківська 15/2	50,43976	30,51836	3
10203183	Київ Велика Васильківська 15/2	50,440049	30,518759	0
10203184	Київ Велика Васильківська 15/2	50,439885	30,518767	9
10203185	Київ Велика Васильківська 15/2	50,439987	30,518906	8
10203186	Київ Велика Васильківська 15/2	50,439987	30,518906	9
10203187	Київ Велика Васильківська 17	50,439714	30,51835	6
10203188	Київ Велика Васильківська 17	50,439685	30,518361	4
10203189	Київ Велика Васильківська 17	50,439725	30,518366	4
10203190	Київ Велика Васильківська 17А	50,439424	30,518929	8
10203191	Київ Велика Васильківська 17Б	50,44009	30,51832	5
10203192	Київ Велика Васильківська 17Б	50,439369	30,518798	1
10203193	Київ Велика Васильківська 17В	50,439714	30,518388	3
10203194	Київ Велика Васильківська 19	50,439418	30,518182	7
10203195	Київ Велика Васильківська 19	50,439418	30,518182	7
